,sample number,Components,AsFed,DM
0,27673330,Moisture,10.7,0
1,27673330,DryMatter,89.3,0
2,27673330,CrudeProtein,18.2,20.4
3,27673330,AdjustedCrudeProtein182,20.4,0
4,27673330,SolubleProteinCP,0,17
5,27673330,ADF,21.5,24.1
6,27673330,aNDF,39.8,44.5
7,27673330,Lignin,7.3,8.1
8,27673330,NFC,8.9,9.9
9,27673330,CrudeFatEE,5.04,5.65
10,27673330,Ash,17.42,19.50
11,27673330,Calcium,3.92,4.39
12,27673330,Phosphorus,.97,1.09
13,27673330,Magnesium,.97,1.09
14,27673330,Potassium,.50,.56
15,27673330,Sodium,.189,.212
16,27673330,PPMIron,1040,1170
17,27673330,PPMZinc,423,474
18,27673330,PPMCopper,61,68
19,27673330,PPMManganese,401,449
20,27673330,PPMMolybdenum,6.8,7.7
21,27673330,Sulfur,.81,.91
